DepComN,NomCN,DepComA,NomCA,annee
61167,Ferté-en-Ouche (La),61434,Saint-Nicolas-des-Laitiers,2015
61167,Ferté-en-Ouche (La),61506,Villers-en-Ouche,2015
61211,Juvigny Val d'Andaine,61211,Juvigny-sous-Andaine,2015
61211,Juvigny Val d'Andaine,61025,Baroche-sous-Lucé (La),2015
61211,Juvigny Val d'Andaine,61033,Beaulandais,2015
61211,Juvigny Val d'Andaine,61235,Loré,2015
61211,Juvigny Val d'Andaine,61239,Lucé,2015
61211,Juvigny Val d'Andaine,61380,Saint-Denis-de-Villenette,2015
61211,Juvigny Val d'Andaine,61469,Sept-Forges,2015
61230,Longny les Villages,61230,Longny-au-Perche,2015
61230,Longny les Villages,61220,Lande-sur-Eure (La),2015
61230,Longny les Villages,61247,Malétable,2015
61230,Longny les Villages,61250,Marchainville,2015
61230,Longny les Villages,61280,Monceaux-au-Perche,2015
61230,Longny les Villages,61296,Moulicent,2015
61230,Longny les Villages,61305,Neuilly-sur-Eure,2015
61230,Longny les Villages,61458,Saint-Victor-de-Réno,2015
61309,Perche en Nocé,61309,Nocé,2015
61309,Perche en Nocé,61112,Colonard-Corubert,2015
61309,Perche en Nocé,61144,Dancé,2015
61309,Perche en Nocé,61337,Préaux-du-Perche,2015
61309,Perche en Nocé,61368,Saint-Aubin-des-Grois,2015
61309,Perche en Nocé,61409,Saint-Jean-de-la-Forêt,2015
61324,Passais Villages,61324,Passais,2015
61324,Passais Villages,61155,Épinay-le-Comte (L'),2015
61324,Passais Villages,61455,Saint-Siméon,2015
61339,Putanges-le-Lac,61339,Putanges-Pont-Écrepin,2015
61339,Putanges-le-Lac,61106,Chênedouit,2015
61339,Putanges-le-Lac,61174,Forêt-Auvray (La),2015
61339,Putanges-le-Lac,61179,Fresnaye-au-Sauvage (La),2015
61339,Putanges-le-Lac,61270,Ménil-Jean,2015
61339,Putanges-le-Lac,61340,Rabodanges,2015
61339,Putanges-le-Lac,61354,Rotours (Les),2015
61339,Putanges-le-Lac,61364,Saint-Aubert-sur-Orne,2015
