id,codeCommune,libelleCommune,codeDepartement,libelleDepartement,actual,dateEffet,effet,mod,tmod,libelle,modification,etat,langue,typeProduit,rubrique,tncc,typeModification
5284772,01244,Meximieux,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Meximieux passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284773,01260,Montellier,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Le Montellier passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284774,01273,Neuville-sur-Ain,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Neuville-sur-Ain passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Nantua (014).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284775,01290,Pérouges,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Pérouges passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284776,01304,Pont-d'Ain,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Pont-d'Ain passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Nantua (014).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284777,01314,Priay,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Priay passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Nantua (014).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284778,01316,Pugieu,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,MG,Pugieu devient commune déléguée au sein de Chazey-Bons (01098) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5284779,01325,Rignieux-le-Franc,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Rignieux-le-Franc passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284780,01349,Saint-Éloi,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Saint-Éloi passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284781,01361,Saint-Jean-de-Niost,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Saint-Jean-de-Niost passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284782,01378,Saint-Maurice-de-Gourdans,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Saint-Maurice-de-Gourdans passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
