loc_id,old_villeId,new_villeId,old_NCCENR,new_NCCENR
745,33443.0,37528,Luzarches,Luzarches
749,33363.0,37449,Belloy-en-France,Belloy-en-France
754,33399.0,37485,Domont,Domont
755,33399.0,37485,Domont,Domont
758,33435.0,37520,Isle-Adam,Isle-Adam
760,33503.0,37588,Sarcelles,Sarcelles
765,33401.0,37487,Ecouen,Écouen
767,33443.0,37528,Luzarches,Luzarches
768,33443.0,37528,Luzarches,Luzarches
770,21971.0,24829,Neuilly-en-Thelle,Neuilly-en-Thelle
771,21971.0,24829,Neuilly-en-Thelle,Neuilly-en-Thelle
775,33519.0,37604,Viarmes,Viarmes
776,21559.0,24388,Amblainville,Amblainville
777,21559.0,24388,Amblainville,Amblainville
778,33442.0,37527,Louvres,Louvres
782,21711.0,24552,Coye-la-Forêt,Coye-la-Forêt
783,21559.0,24388,Amblainville,Amblainville
785,33523.0,37608,Villeron,Villeron
786,21559.0,24388,Amblainville,Amblainville
788,33439.0,37524,Lassy,Lassy
790,33439.0,37524,Lassy,Lassy
791,33439.0,37524,Lassy,Lassy
797,33443.0,37528,Luzarches,Luzarches
798,38061.0,35033,Toulon,Toulon
799,33372.0,37458,Bouffémont,Bouffémont
800,33372.0,37458,Bouffémont,Bouffémont
804,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
806,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
810,33404.0,37490,Epiais-lès-Louvres,Épiais-lès-Louvres
813,33442.0,37527,Louvres,Louvres
816,33442.0,37527,Louvres,Louvres
817,33442.0,37527,Louvres,Louvres
819,33443.0,37528,Luzarches,Luzarches
822,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
823,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
826,33442.0,37527,Louvres,Louvres
828,33519.0,37604,Viarmes,Viarmes
829,33519.0,37604,Viarmes,Viarmes
831,33442.0,37527,Louvres,Louvres
833,33423.0,37508,Goussainville,Goussainville
834,33423.0,37508,Goussainville,Goussainville
836,33449.0,37534,Marly-la-Ville,Marly-la-Ville
837,33482.0,37567,Plessis-Luzarches,Plessis-Luzarches
838,33449.0,37534,Marly-la-Ville,Marly-la-Ville
839,33449.0,37534,Marly-la-Ville,Marly-la-Ville
841,33449.0,37534,Marly-la-Ville,Marly-la-Ville
842,33449.0,37534,Marly-la-Ville,Marly-la-Ville
847,33228.0,37312,Bourg-la-Reine,Bourg-la-Reine
849,22115.0,24988,Senlis,Senlis
852,33456.0,37541,Moisselles,Moisselles
856,33443.0,37528,Luzarches,Luzarches
859,21876.0,24728,Lamorlaye,Lamorlaye
861,33386.0,37472,Chaumontel,Chaumontel
862,33386.0,37472,Chaumontel,Chaumontel
864,36655.0,37671,Sainte-Anne,Sainte-Anne
866,33442.0,37527,Louvres,Louvres
868,33519.0,37604,Viarmes,Viarmes
869,33519.0,37604,Viarmes,Viarmes
870,33442.0,37527,Louvres,Louvres
871,33442.0,37527,Louvres,Louvres
872,33442.0,37527,Louvres,Louvres
875,33460.0,37545,Montmagny,Montmagny
877,33503.0,37588,Sarcelles,Sarcelles
879,22115.0,24988,Senlis,Senlis
880,22115.0,24988,Senlis,Senlis
883,22022.0,24887,Pont-Sainte-Maxence,Pont-Sainte-Maxence
884,33485.0,37570,Puiseux-en-France,Puiseux-en-France
888,33485.0,37570,Puiseux-en-France,Puiseux-en-France
891,33423.0,37508,Goussainville,Goussainville
893,33442.0,37527,Louvres,Louvres
894,33523.0,37608,Villeron,Villeron
895,33523.0,37608,Villeron,Villeron
899,33423.0,37508,Goussainville,Goussainville
901,33423.0,37508,Goussainville,Goussainville
905,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
906,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
907,29560.0,33208,Vélizy-Villacoublay,Vélizy-Villacoublay
908,29560.0,33208,Vélizy-Villacoublay,Vélizy-Villacoublay
909,29352.0,32987,Bois-d'Arcy,Bois-d'Arcy
910,33389.0,37475,Chennevières-lès-Louvres,Chennevières-lès-Louvres
914,33523.0,37608,Villeron,Villeron
918,33443.0,37528,Luzarches,Luzarches
919,33443.0,37528,Luzarches,Luzarches
921,33363.0,37449,Belloy-en-France,Belloy-en-France
922,33363.0,37449,Belloy-en-France,Belloy-en-France
924,33442.0,37527,Louvres,Louvres
929,33505.0,37590,Seugy,Seugy
931,33386.0,37472,Chaumontel,Chaumontel
932,33443.0,37528,Luzarches,Luzarches
934,33443.0,37528,Luzarches,Luzarches
945,33386.0,37472,Chaumontel,Chaumontel
946,33386.0,37472,Chaumontel,Chaumontel
950,33353.0,37439,Asnières-sur-Oise,Asnières-sur-Oise
954,33386.0,37472,Chaumontel,Chaumontel
955,33443.0,37528,Luzarches,Luzarches
957,33386.0,37472,Chaumontel,Chaumontel
960,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
962,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
964,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
966,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
967,33507.0,37592,Survilliers,Survilliers
969,33507.0,37592,Survilliers,Survilliers
971,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
972,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
977,33523.0,37608,Villeron,Villeron
981,33443.0,37528,Luzarches,Luzarches
